suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
zcat,moead,zcat19,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,1.051898488791716,0.0,0.0,tie
zcat,moead,zcat6,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,1.725519314517829,4.334513951571115,0.33101672999852294,-0.08220104815522578,win
zcat,moead,zcat6,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,3.9364588455357783,4.278616824180898,0.3515755182915638,-0.2662863588837462,win
zcat,moead,zcat6,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,1.6262269252171464,4.30294951423187,0.289703819098608,-0.049112592064707195,win
zcat,moead,zcat6,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,1.254219731323527,4.338481583853072,0.28198741532266336,-0.0038210463270828,win
zcat,moead,zcat6,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,3.9364588455357783,4.348568252101125,0.3515755182915638,-0.2662863588837462,win
zcat,moead,zcat6,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,1.0187835687029079,4.39992177450272,0.2879849276028977,-0.00341400787311652,win
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,-0.09929238930068252,0.992717883090951,-0.041312910899914956,0.03308845609051858,loss
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,-2.310231920318632,1.0056870458493627,-0.06187169919295582,0.217173766819039,loss
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,0.6074433565142385,0.9779604581079605,0.0017188914957103063,-0.045698584191590674,win
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,-2.310231920318632,0.989509481000508,-0.06187169919295582,0.217173766819039,loss
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.37200719389361936,0.9918100217934667,0.007716403775944625,-0.045291545737624395,win
zcat,moead,zcat6,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,1.016349075132153,0.0,0.0,tie
zcat,nsgaii,zcat1,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,-0.8302408496326166,1.255194115387991,0.20863320392206358,0.14571437648161117,loss
zcat,nsgaii,zcat1,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,-1.0562094302629745,1.3618024559425572,0.238167772082942,0.05054149597730723,loss
zcat,nsgaii,zcat1,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,-1.0072064829037402,1.3436918072851614,0.21065337128420233,0.143111019689524,loss
zcat,nsgaii,zcat1,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,-3.140225080643674,1.2082913310028252,0.18818138063856965,0.3585956693935882,loss
zcat,nsgaii,zcat1,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,-1.0562094302629745,1.312608327801981,0.238167772082942,0.05054149597730723,loss
zcat,nsgaii,zcat1,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,-1.3925682861936508,1.3431782374979,0.20541991750103178,0.20570140003032678,loss
